id,date,action_type,description,severity,category,impacted_sectors,p2025_pillar,linked_fix_id,url
EVT-2025-0829-096,2025-08-29,Executive Order,Federal speech restrictions expanded to contractors and grant recipients beyond universities - conditioning billions in federal funds on ideological compliance with administration speech directives.,8,Democracy,Democracy; Civil Rights; Education,Department of Justice,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2025-0829-096
EVT-2025-0903-097,2025-09-03,Trade Policy,Reciprocal tariffs escalated against additional trading partners under national-security authority - raising consumer costs and retaliatory barriers while bypassing congressional trade powers.,7,Economy,Economy,Department of Commerce,FIX-ECO-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0903-097
EVT-2025-0908-098,2025-09-08,Enforcement Expansion,DHS expanded National Guard coordination for interior deportation operations - militarizing immigration enforcement in major metro areas without new congressional authorization.,8,Immigration,Immigration; Civil Rights; Democracy,Homeland Security,FIX-VR-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0908-098
EVT-2025-0913-099,2025-09-13,Research Termination,"NIH terminated additional climate, health-equity, and infectious-disease research grants mid-cycle - disrupting longitudinal studies and university partnerships nationwide.",8,Healthcare,Healthcare; Environment,Health & Human Services,FIX-HC-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0913-099
EVT-2025-0918-100,2025-09-18,Enforcement Halt,"Justice Department halted remaining Voting Rights Act Section 2 pattern-or-practice investigations in Georgia, Texas, and Arizona - dismantling the federal government's last active voting-rights enforcement tool ahead of the 2026 redistricting cycle.",10,Democracy,Democracy,Department of Justice,FIX-VR-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0918-100
EVT-2025-0923-101,2025-09-23,Enforcement Pause,"CFPB paused major consumer-finance enforcement actions and supervisory exams - gutting mortgage, student-loan, and credit-card protections while the agency faces structural dismantling.",8,Economy,Economy; Civil Rights,Department of Treasury,FIX-ECO-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0923-101
EVT-2025-0928-102,2025-09-28,Workforce Reduction,Social Security Administration accelerated field-office closures and staffing cuts - lengthening disability and retirement claim backlogs for millions of beneficiaries.,8,Healthcare,Healthcare; Economy,Social Security Administration,FIX-HC-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0928-102
EVT-2025-1003-103,2025-10-03,Security Downgrade,CISA election-security grants and state coordination staffing cut ahead of the 2026 midterms - weakening federal support for voting-system cybersecurity and incident response.,9,Democracy,Democracy,Department of Homeland Security,FIX-VR-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-1003-103
EVT-2025-1008-104,2025-10-08,Regulatory Rollback,Education Department finalized Title IX sports regulations excluding transgender student-athletes - reversing inclusive participation rules and inviting litigation in dozens of states.,7,Education,Education; Civil Rights,Department of Education,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2025-1008-104
EVT-2025-1013-105,2025-10-13,Healthcare Policy,CMS approved additional state Medicaid waivers imposing work requirements and premiums - conditioning health coverage on employment in low-wage labor markets.,8,Healthcare,Healthcare; Economy,Health & Human Services,FIX-HC-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-1013-105
EVT-2025-1018-106,2025-10-18,Enforcement Deadlock,FEC commissioners deadlocked on major campaign-finance enforcement actions and advisory opinions - pausing investigations into undisclosed independent expenditures ahead of the 2026 cycle.,8,Democracy,Democracy,Federal Election Commission,FIX-SAFE-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-1018-106
EVT-2025-1023-107,2025-10-23,Institutional Vacancy,Merit Systems Protection Board vacancies left thousands of federal whistleblower and Schedule F appeal cases in limbo - removing a key check on retaliatory firings.,8,Democracy,Democracy; Economy,Personnel & Civil Service,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2025-1023-107
EVT-2025-1028-108,2025-10-28,Regulatory Delay,EPA delayed implementation of methane leak detection and repair standards for oil and gas facilities - extending a regulatory freeze that benefits fossil-fuel operators.,7,Environment,Environment; Economy,Environmental Protection Agency,FIX-ENV-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-1028-108
EVT-2025-1102-109,2025-11-02,Disclosure Rollback,Treasury and IRS moved to weaken nonprofit donor-disclosure requirements for politically active 501(c)(4) organizations - expanding dark-money channels documented by OpenSecrets.,9,Democracy,Democracy; Economy,Department of Treasury,FIX-SAFE-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-1102-109
EVT-2025-1107-110,2025-11-07,Workforce Reclassification,OPM expanded Schedule F reclassification guidance to additional agency subcomponents - accelerating politically motivated civil-service purges across the executive branch ahead of the 2026 midterms.,10,Democracy,Democracy,Personnel & Civil Service,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2025-1107-110
EVT-2025-1112-111,2025-11-12,Records Withholding,DOJ expanded FOIA exemption claims for executive-branch records tied to political appointees - lengthening backlogs documented on FOIA.gov and delaying public release of investigation materials.,7,Democracy,Democracy,Department of Justice,FIX-SAFE-004,https://thesunriseparty.pages.dev/tracker/EVT-2025-1112-111
EVT-2025-1115-112,2025-11-15,Disclosure Rollback,Federal agencies scaled back proactive disclosure of lobbying visitor logs and rulemaking comment datasets - reducing machine-readable transparency required under prior open-government policies.,7,Democracy,Democracy,Ethics & Transparency,FIX-SAFE-004,https://thesunriseparty.pages.dev/tracker/EVT-2025-1115-112
EVT-2025-1118-113,2025-11-18,Legislative Action,House Judiciary subcommittee advanced markup on the Epstein Files Transparency Act - bipartisan legislation requiring DOJ to release unclassified investigation records on a statutory timeline.,5,Democracy,Democracy,Transparency,FIX-SAFE-004,https://thesunriseparty.pages.dev/tracker/EVT-2025-1118-113
EVT-2025-1121-114,2025-11-21,Whistleblower Backlog,Federal whistleblower appeals surged as MSPB vacancies left retaliation cases unresolved - weakening the fraud-recovery and oversight mechanisms SAFE-004 whistleblower bounties are designed to strengthen.,8,Democracy,Democracy; Economy,Merit Systems Protection Board,FIX-SAFE-004,https://thesunriseparty.pages.dev/tracker/EVT-2025-1121-114
EVT-2025-1125-115,2025-11-25,Records Policy,National Archives issued restrictive guidance on presidential records access requests - narrowing public review windows under the Presidential Records Act amid ongoing FOIA litigation over executive-branch document retention.,7,Democracy,Democracy,National Archives,FIX-SAFE-004,https://thesunriseparty.pages.dev/tracker/EVT-2025-1125-115
EVT-2025-1128-116,2025-11-28,Election Security,CISA scaled back election-security partnership staffing and state coordination grants - weakening federal support for voting-system cybersecurity ahead of the 2026 midterm cycle.,9,Democracy,Democracy,Election Administration,FIX-VR-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-1128-116
EVT-2025-1201-117,2025-12-01,Ethics Rollback,OGE extended financial disclosure filing deadlines for senior appointees - reducing real-time visibility into executive branch conflicts of interest during agency rulemaking pushes.,7,Democracy,Democracy; Economy,Ethics & Transparency,FIX-SAFE-004,https://thesunriseparty.pages.dev/tracker/EVT-2025-1201-117
EVT-2025-1204-118,2025-12-04,Campaign Finance,FEC enforcement docket backlog grew as commission vacancies limited penalties for late disclosure filings - delaying public visibility into midterm dark-money spending.,7,Democracy,Democracy,Campaign Finance,FIX-SAFE-004,https://thesunriseparty.pages.dev/tracker/EVT-2025-1204-118
EVT-2025-1208-119,2025-12-08,Inspector General Review,Multiple agency IG offices faced staffing reviews and report publication delays - narrowing independent oversight of procurement fraud and ethics violations documented in prior GAO findings.,8,Democracy,Democracy; Economy,Oversight & Accountability,FIX-SAFE-004,https://thesunriseparty.pages.dev/tracker/EVT-2025-1208-119
EVT-2025-1212-120,2025-12-12,Transparency Halt,"A coordinated executive-branch slowdown on proactive open-government publishing reached a 120-event milestone - spanning FOIA backlogs, lobbying log gaps, and ethics disclosure delays that SAFE-004 is designed to reverse.",10,Democracy,Democracy,Transparency,FIX-SAFE-004,https://thesunriseparty.pages.dev/tracker/EVT-2025-1212-120
EVT-2025-1215-121,2025-12-15,FOIA Backlog,DOJ Office of Information Policy reported median FOIA response times exceeding statutory limits at multiple agencies - with proactive disclosure pages going stale as staffing reviews continued across the executive branch.,7,Democracy,Democracy,Transparency,FIX-SAFE-004,https://thesunriseparty.pages.dev/tracker/EVT-2025-1215-121
EVT-2025-1218-122,2025-12-18,Oversight Report,GAO flagged rising improper-payment rates tied to reduced inspector general staffing - documenting how oversight vacancies weaken fraud recovery ahead of major procurement pushes.,8,Democracy,Democracy; Economy,Oversight & Accountability,FIX-SAFE-004,https://thesunriseparty.pages.dev/tracker/EVT-2025-1218-122
EVT-2025-1220-123,2025-12-20,Spending Transparency,Federal spending portals narrowed machine-readable lobbying and contract metadata fields - reducing public ability to cross-reference vendor payments with rulemaking commenters.,7,Democracy,Democracy; Economy,Ethics & Transparency,FIX-SAFE-004,https://thesunriseparty.pages.dev/tracker/EVT-2025-1220-123
EVT-2025-1222-124,2025-12-22,Press Access,Multiple federal agencies curtailed routine press briefing transcripts and on-camera Q&A - limiting real-time public scrutiny of policy rollouts documented in prior CPR tracker entries.,6,Democracy,Democracy,Media & Communications,FIX-SAFE-004,https://thesunriseparty.pages.dev/tracker/EVT-2025-1222-124
EVT-2025-1225-125,2025-12-25,Documentation Milestone,"Independent watchdog cross-references reached a 125-event milestone on coordinated erosion of proactive disclosure - spanning FOIA delays, lobbying log gaps, press access limits, and ethics filing extensions that SAFE-004 targets.",9,Democracy,Democracy,Transparency,FIX-SAFE-004,https://thesunriseparty.pages.dev/tracker/EVT-2025-1225-125
EVT-2025-0129-126,2025-01-29,Federal Register,"Federal Register publishes E.O. 14158 establishing the U.S. DOGE Service inside the Executive Office of the President, with a temporary organization set to terminate July 4, 2026.",9,Democracy,Democracy; Economy,Agency Restructuring,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2025-0129-126
EVT-2025-0210-127,2025-02-10,Presidential Action,Southern border tariff action pauses additional Mexico-related duties while explicitly threatening immediate reimposition if migration and drug metrics worsen.,7,Immigration,Immigration; Economy,Immigration Enforcement,FIX-ECO-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0210-127
EVT-2025-0214-128,2025-02-14,Federal Register,"DOGE Workforce Optimization order directs agencies to prepare large-scale RIFs and apply a 1-hire-per-4-departures ratio, exempting immigration and law-enforcement functions.",9,Democracy,Democracy; Economy,Personnel & Civil Service,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2025-0214-128
EVT-2025-0303-129,2025-03-03,Federal Register,DOGE Cost Efficiency Initiative extends review over covered contracts and grants while carving out immigration enforcement and public-safety spending from cuts.,8,Economy,Economy; Immigration; Democracy,Agency Restructuring,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2025-0303-129
EVT-2026-0201-130,2026-02-01,Agency Rule,"OPM public-inspection final rule advances Schedule Policy/Career, authorizing agencies to move policy-influencing career jobs into at-will excepted-service status without MSPB adverse-action protections.",10,Democracy,Democracy; Economy,Personnel & Civil Service,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2026-0201-130
EVT-2026-0430-131,2026-04-30,Executive Order,E.O. 14402 on federal contracting efficiency directs OMB to issue agency guidance reshaping performance and accountability rules for government contracts.,7,Economy,Economy; Democracy,Agency Restructuring,FIX-SAFE-004,https://thesunriseparty.pages.dev/tracker/EVT-2026-0430-131
EVT-2026-0501-132,2026-05-29,Executive Order,"Order on federal lands access rescinds decades-old off-road vehicle restriction criteria and directs agencies to rewrite access rules, advancing deregulatory land-use priorities.",8,Environment,Environment; Economy,Energy & Environment,FIX-ENV-001,https://thesunriseparty.pages.dev/tracker/EVT-2026-0501-132
EVT-2026-0529-133,2026-05-29,Executive Order,"Childhood vaccine recommendations realignment order directs federal health agencies to revise core schedules against selected peer-country practices, politicizing CDC scientific processes.",8,Healthcare,Healthcare; Education,Health Agencies,FIX-HC-001,https://thesunriseparty.pages.dev/tracker/EVT-2026-0529-133
EVT-2026-0602-134,2026-06-02,Executive Order,"E.O. 14409 promotes AI innovation while explicitly rejecting mandatory licensing or preclearance for frontier models, prioritizing voluntary industry frameworks over binding safety regulation.",7,Economy,Economy; Democracy,Deregulation,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2026-0602-134
EVT-2026-0603-135,2026-06-03,Executive Order,"E.O. 14410 implements Schedule Policy/Career transfers for senior policy-influencing positions, converting career expertise into at-will roles removable for alleged obstruction of presidential directives.",10,Democracy,Democracy; Economy,Personnel & Civil Service,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2026-0603-135
EVT-2026-0603-136,2026-06-03,Executive Order,"Strengthening Customs Enforcement order expands customs and trade-enforcement priorities, tightening goods and migration-adjacent border controls.",7,Immigration,Immigration; Economy,Immigration Enforcement,FIX-VR-001,https://thesunriseparty.pages.dev/tracker/EVT-2026-0603-136
EVT-2026-0605-137,2026-06-05,Federal Register,"Federal Register publishes E.O. 14409 AI innovation and security text, locking in the administration's anti-mandatory-licensing AI posture in the official journal.",6,Economy,Economy; Democracy,Deregulation,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2026-0605-137
EVT-2026-0107-138,2026-01-07,Executive Order,"Defense contracting priority order elevates warfighter contracting preferences, redirecting procurement criteria inside DoD acquisition processes.",6,Economy,Economy; Democracy,Defense,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2026-0107-138
EVT-2026-0326-139,2026-03-26,Executive Order,"Order addressing DEI discrimination by federal contractors expands anti-DEI contracting conditions, extending personnel culture wars into procurement eligibility.",8,Civil Rights,Civil Rights; Economy,Civil Rights Rollbacks,FIX-VR-001,https://thesunriseparty.pages.dev/tracker/EVT-2026-0326-139
EVT-2025-0415-140,2025-04-15,Executive Order,Restoring Common Sense to Federal Procurement reframes acquisition rules toward deregulatory contracting preferences announced in the White House presidential-actions series.,6,Economy,Economy; Democracy,Agency Restructuring,FIX-ECO-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0415-140
EVT-2025-0416-141,2025-04-16,Executive Order,"Ensuring Commercial, Cost-Effective Solutions in Federal Contracts pushes commercial-item preferences that can weaken public-interest requirements in acquisition.",6,Economy,Economy,Deregulation,FIX-ECO-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0416-141
EVT-2026-0610-142,2026-06-10,Documentation,Independent trackers continue cross-referencing Schedule Policy/Career implementation against Project 2025 personnel chapters as OPM rulemaking and E.O. 14410 take effect.,8,Democracy,Democracy,Personnel & Civil Service,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2026-0610-142
EVT-2026-0615-143,2026-06-15,Oversight Gap,GAO and inspector-general capacity constraints compound as Schedule Policy/Career removals threaten career oversight staff who flag improper payments and fraud.,8,Democracy,Democracy; Economy,Oversight & Accountability,FIX-SAFE-004,https://thesunriseparty.pages.dev/tracker/EVT-2026-0615-143
EVT-2026-0620-144,2026-06-20,Health Policy,"CDC and HHS vaccine-schedule realignment work begins under the May 29 order, shifting childhood recommendation processes toward politically framed peer-country comparisons.",8,Healthcare,Healthcare,Health Agencies,FIX-HC-001,https://thesunriseparty.pages.dev/tracker/EVT-2026-0620-144
EVT-2026-0622-145,2026-06-22,Executive Order,Cryptographic security and quantum innovation orders expand national-security tech directives while the administration simultaneously rejects binding AI safety licensing.,5,Democracy,Economy; Democracy,National Security,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2026-0622-145
EVT-2026-0625-146,2026-06-25,Executive Order,Regenerative agriculture executive order reframes farm policy priorities; environmental and labor groups warn deregulatory riders can weaken conservation enforcement if paired with EPA rollbacks.,5,Environment,Environment; Economy,Energy & Environment,FIX-ENV-001,https://thesunriseparty.pages.dev/tracker/EVT-2026-0625-146
EVT-2026-0701-147,2026-07-01,DOGE Sunset Watch,"U.S. DOGE Service Temporary Organization approaches its July 4, 2026 termination date under E.O. 14158 while the order states termination does not end other DOGE authorities.",7,Democracy,Democracy; Economy,Agency Restructuring,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2026-0701-147
EVT-2026-0704-148,2026-07-04,Structural Milestone,Statutory sunset date for the U.S. DOGE Service Temporary Organization arrives; watchdogs track whether payment-system access and workforce directives persist beyond the temporary shell.,9,Democracy,Democracy; Economy,Agency Restructuring,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2026-0704-148
EVT-2026-0708-149,2026-07-08,Civil Service,"Agencies continue Schedule Policy/Career position transfers under E.O. 14410, expanding the pool of career staff removable without traditional adverse-action appeals.",9,Democracy,Democracy,Personnel & Civil Service,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2026-0708-149
EVT-2026-0710-150,2026-07-10,Environment,"Federal lands access rollback implementation continues alongside earlier drilling and emergency energy directives, compounding cumulative environmental deregulation.",8,Environment,Environment,Energy & Environment,FIX-ENV-001,https://thesunriseparty.pages.dev/tracker/EVT-2026-0710-150
EVT-2026-0115-151,2026-01-15,Transparency,Presidential Records Act and FOIA backlog pressures intensify as proactive disclosure narrows; SAFE-004 transparency mandates remain the structural counter-proposal.,7,Democracy,Democracy,Transparency,FIX-SAFE-004,https://thesunriseparty.pages.dev/tracker/EVT-2026-0115-151
EVT-2026-0215-152,2026-02-15,Voting,"Election officials face continued federal funding and CISA support uncertainty while SAVE Act-style citizenship proof mandates advance in Congress, raising access barriers.",8,Democracy,Democracy; Civil Rights,Voting Rights,FIX-VR-001,https://thesunriseparty.pages.dev/tracker/EVT-2026-0215-152
EVT-2026-0315-153,2026-03-15,Labor,NLRB and DOL rollback trajectory continues to weaken union recognition and overtime protections referenced across Project 2025 labor chapters.,7,Economy,Economy,Labor,FIX-ECO-001,https://thesunriseparty.pages.dev/tracker/EVT-2026-0315-153
EVT-2026-0415-154,2026-04-15,Education,Education Department restructuring and Title IX sports rule shifts continue limiting civil-rights enforcement capacity for students.,8,Education,Education; Civil Rights,Education,FIX-ED-001,https://thesunriseparty.pages.dev/tracker/EVT-2026-0415-154
EVT-2026-0515-155,2026-05-15,Immigration,ICE expansion and deportation operational directives continue large-scale interior enforcement alongside customs enforcement intensification.,8,Immigration,Immigration; Civil Rights,Immigration Enforcement,FIX-VR-001,https://thesunriseparty.pages.dev/tracker/EVT-2026-0515-155
EVT-2026-0520-156,2026-05-20,Healthcare,Medicaid work requirements and ACA subsidy cliff impacts continue raising uninsured risk while CDC grant pauses constrain local health capacity.,8,Healthcare,Healthcare,Health Agencies,FIX-HC-001,https://thesunriseparty.pages.dev/tracker/EVT-2026-0520-156
EVT-2026-0612-157,2026-06-12,Climate,"EPA methane and vehicle emissions rollback stack continues after energy-emergency permitting acceleration, widening climate enforcement gaps.",9,Environment,Environment,Energy & Environment,FIX-ENV-001,https://thesunriseparty.pages.dev/tracker/EVT-2026-0612-157
EVT-2026-0618-158,2026-06-18,Economy,CFPB and FTC enforcement pauses leave consumer fraud and unfair-practice cases under-enforced during a contracting deregulatory push.,7,Economy,Economy,Deregulation,FIX-ECO-001,https://thesunriseparty.pages.dev/tracker/EVT-2026-0618-158
EVT-2026-0628-159,2026-06-28,Civil Rights,HUD fair housing pauses and EEOC enforcement shifts reduce federal anti-discrimination capacity in housing and employment.,8,Civil Rights,Civil Rights; Economy,Civil Rights Rollbacks,FIX-VR-001,https://thesunriseparty.pages.dev/tracker/EVT-2026-0628-159
EVT-2026-0705-160,2026-07-05,Democracy,"Post-DOGE-temporary sunset, watchdogs document continuity of workforce optimization directives and Schedule Policy/Career removals as the core administrative-state strategy.",9,Democracy,Democracy; Economy,Personnel & Civil Service,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2026-0705-160
EVT-2026-0709-161,2026-07-09,Media,FCC media and broadcast policy shifts continue reshaping ownership and speech rules amid reduced proactive press access at agencies.,6,Democracy,Democracy,Media & Communications,FIX-SAFE-004,https://thesunriseparty.pages.dev/tracker/EVT-2026-0709-161
EVT-2026-0711-162,2026-07-11,Documentation Milestone,"Project Sunrise Pass 26 logs 160+ verified administrative actions spanning Federal Register DOGE orders, Schedule Policy/Career implementation, AI deregulation, lands access rollbacks, and health-agency politicization.",9,Democracy,Democracy,Transparency,FIX-SAFE-004,https://thesunriseparty.pages.dev/tracker/EVT-2026-0711-162
EVT-2026-0519-163,2026-05-19,Executive Order,"E.O. 14405 integrates financial-technology innovation into regulatory frameworks, accelerating fintech-friendly reinterpretation of banking and consumer-finance rules.",7,Economy,Economy,Deregulation,FIX-ECO-001,https://thesunriseparty.pages.dev/tracker/EVT-2026-0519-163
EVT-2026-0519-164,2026-05-19,Executive Order,E.O. 14406 on restoring integrity to America's financial system reframes financial-regulation priorities alongside the same-day fintech innovation order.,7,Economy,Economy; Democracy,Deregulation,FIX-ECO-001,https://thesunriseparty.pages.dev/tracker/EVT-2026-0519-164
EVT-2026-0622-165,2026-06-22,Executive Order,"E.O. 14412 directs agencies to secure the nation against advanced cryptographic attacks, expanding national-security tech mandates.",6,Democracy,Democracy; Economy,National Security,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2026-0622-165
EVT-2026-0622-166,2026-06-22,Executive Order,"E.O. 14413 on quantum innovation pairs with cryptographic-security directives, concentrating advanced-tech industrial policy in executive orders.",5,Economy,Economy; Democracy,National Security,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2026-0622-166
EVT-2026-0625-167,2026-06-25,Executive Order,E.O. 14414 advances regenerative agriculture and farm resilience while environmental rollbacks elsewhere risk weakening conservation enforcement baselines.,6,Environment,Environment; Economy,Energy & Environment,FIX-ENV-001,https://thesunriseparty.pages.dev/tracker/EVT-2026-0625-167
EVT-2026-0712-168,2026-07-12,Oversight,GAO improper-payments oversight capacity remains critical as Schedule Policy/Career removals threaten career staff who flag waste inside large entitlement and contracting programs.,8,Democracy,Democracy; Economy,Oversight & Accountability,FIX-SAFE-004,https://thesunriseparty.pages.dev/tracker/EVT-2026-0712-168
EVT-2026-0712-169,2026-07-12,Labor Market,BLS employment situation reporting continues as the official labor scorecard while NLRB and DOL rollbacks reshape worker bargaining power behind the headline jobs number.,6,Economy,Economy,Labor,FIX-ECO-001,https://thesunriseparty.pages.dev/tracker/EVT-2026-0712-169
EVT-2026-0301-170,2026-03-01,Civil Service,Mid-year Schedule Policy/Career implementation continues converting policy-influencing career roles to at-will status under E.O. 14410 and OPM rulemaking.,9,Democracy,Democracy,Personnel & Civil Service,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2026-0301-170
EVT-2026-0401-171,2026-04-01,Immigration,"Interior enforcement and customs priorities remain elevated under ICE expansion and customs-enforcement orders, sustaining high-severity deportation operations.",8,Immigration,Immigration; Civil Rights,Immigration Enforcement,FIX-IMM-001,https://thesunriseparty.pages.dev/tracker/EVT-2026-0401-171
EVT-2026-0501-172,2026-05-01,Healthcare,Childhood vaccine-schedule realignment work continues under E.O. 14407 while CDC grant pauses constrain state and local immunization program capacity.,8,Healthcare,Healthcare,Health Agencies,FIX-HC-001,https://thesunriseparty.pages.dev/tracker/EVT-2026-0501-172
EVT-2026-0505-173,2026-05-05,Environment,"Federal lands access rollback (E.O. 14408) proceeds alongside drilling and energy-emergency directives, compounding cumulative public-lands deregulation.",8,Environment,Environment,Energy & Environment,FIX-ENV-001,https://thesunriseparty.pages.dev/tracker/EVT-2026-0505-173
EVT-2026-0601-174,2026-06-01,Economy,Fintech and financial-integrity orders begin agency implementation planning while CFPB and FTC enforcement pauses leave consumer-protection gaps.,7,Economy,Economy,Deregulation,FIX-ECO-001,https://thesunriseparty.pages.dev/tracker/EVT-2026-0601-174
EVT-2026-0608-175,2026-06-08,AI Governance,AI innovation order's rejection of mandatory frontier-model licensing remains the administration's baseline as agencies stand up voluntary industry frameworks.,7,Economy,Economy; Democracy,Deregulation,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2026-0608-175
EVT-2026-0611-176,2026-06-11,Voting,SAVE Act-style citizenship-proof mandates and election-security support uncertainty continue to pressure election administrators ahead of the mid-decade cycle.,8,Democracy,Democracy; Civil Rights,Voting Rights,FIX-VR-001,https://thesunriseparty.pages.dev/tracker/EVT-2026-0611-176
EVT-2026-0616-177,2026-06-16,Education,Education Department restructuring and Title IX sports rule shifts continue reducing civil-rights enforcement bandwidth for students.,8,Education,Education; Civil Rights,Education,FIX-ED-001,https://thesunriseparty.pages.dev/tracker/EVT-2026-0616-177
EVT-2026-0620-178,2026-06-20,Civil Rights,DEI termination directives and contractor anti-DEI conditions continue reshaping federal employment and procurement culture rules.,8,Civil Rights,Civil Rights; Economy,Civil Rights Rollbacks,FIX-VR-001,https://thesunriseparty.pages.dev/tracker/EVT-2026-0620-178
EVT-2026-0627-179,2026-06-27,Transparency,FOIA backlog and Presidential Records Act pressures persist as proactive disclosure narrows; SAFE-004 transparency mandates remain the structural counter-proposal.,7,Democracy,Democracy,Transparency,FIX-SAFE-004,https://thesunriseparty.pages.dev/tracker/EVT-2026-0627-179
EVT-2026-0703-180,2026-07-03,DOGE Continuity,"As the DOGE temporary organization sunset approaches, workforce-optimization and payment-system access authorities remain the durable administrative-state strategy.",9,Democracy,Democracy; Economy,Agency Restructuring,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2026-0703-180
EVT-2026-0706-181,2026-07-06,Media,"FCC broadcast and media-ownership policy shifts continue amid reduced proactive press access, reshaping information-market rules.",6,Democracy,Democracy,Media & Communications,FIX-MED-001,https://thesunriseparty.pages.dev/tracker/EVT-2026-0706-181
EVT-2026-0711-182,2026-07-11,Documentation Milestone,"Project Sunrise Pass 27 logs 180+ verified actions spanning fintech deregulation, cryptographic and quantum EOs, regenerative agriculture directives, and continued Schedule Policy/Career implementation.",9,Democracy,Democracy,Transparency,FIX-SAFE-004,https://thesunriseparty.pages.dev/tracker/EVT-2026-0711-182
EVT-2026-0604-183,2026-06-04,Pardon,Presidential pardon of former Representative Stephen E. Buyer expands the clemency pattern that watchdogs track alongside Jan. 6 and allied pardon politics.,6,Democracy,Democracy,Executive Clemency,FIX-SAFE-001,https://thesunriseparty.pages.dev/tracker/EVT-2026-0604-183
EVT-2026-0605-184,2026-06-05,National Security Memo,"NSPM-11 adds national-security presidential memorandum authority outside ordinary notice-and-comment, concentrating sensitive directives in executive memoranda.",7,Democracy,Democracy,National Security,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2026-0605-184
EVT-2026-0611-185,2026-06-11,Proclamation,"Pacific commercial fishing proclamation reframes ocean access and conservation constraints, stacking with broader energy and lands deregulation.",6,Environment,Environment; Economy,Energy & Environment,FIX-ENV-001,https://thesunriseparty.pages.dev/tracker/EVT-2026-0611-185
EVT-2026-0612-186,2026-06-12,National Security Memo,"NSPM-12 continues the mid-2026 national-security memorandum cascade, expanding policy set outside Federal Register rulemaking norms.",7,Democracy,Democracy,National Security,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2026-0612-186
EVT-2026-0629-187,2026-06-29,Presidential Memorandum,"Freedom-to-Fix memorandum directs EPA to expand aftermarket emissions-repair pathways and deprioritize certain tampering enforcement, narrowing Clean Air Act practical controls.",8,Environment,Environment; Economy,Energy & Environment,FIX-ENV-001,https://thesunriseparty.pages.dev/tracker/EVT-2026-0629-187
EVT-2026-0629-188,2026-06-29,Emergency Proclamation,"Emergency phosphate-fertilizer duty-free import proclamation uses emergency trade authority for agricultural inputs, illustrating emergency-power breadth beyond classic national-security framing.",5,Economy,Economy; Environment,Trade & Agriculture,FIX-ECO-001,https://thesunriseparty.pages.dev/tracker/EVT-2026-0629-188
EVT-2026-0709-189,2026-07-09,Trade Proclamation,"Aircraft and jet-engine import proclamation adjusts commercial aerospace trade treatment, extending tariff and supply-chain industrial policy by proclamation.",6,Economy,Economy,Trade & Tariffs,FIX-ECO-001,https://thesunriseparty.pages.dev/tracker/EVT-2026-0709-189
